英雄名称	Hero name	头像URL	详情URL
上古巨神	Elder_Titan	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_elder_titan.png"/>	<a href="http://www.dota2.com.cn/hero/elder_titan/">上古巨神详情</a>
不朽尸王	Undying	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_undying.png"/>	<a href="http://www.dota2.com.cn/hero/undying/">不朽尸王详情</a>
主宰	Juggernaut	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_juggernaut.png"/>	<a href="http://www.dota2.com.cn/hero/juggernaut/">主宰详情</a>
亚巴顿	Abaddon	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_abaddon.png"/>	<a href="http://www.dota2.com.cn/hero/abaddon/">亚巴顿详情</a>
伐木机	Shredder	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_shredder.png"/>	<a href="http://www.dota2.com.cn/hero/timbersaw/">伐木机详情</a>
修补匠	Tinker	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_tinker.png"/>	<a href="http://www.dota2.com.cn/hero/tinker/">修补匠详情</a>
先知	Furion	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_furion.png"/>	<a href="http://www.dota2.com.cn/hero/natures_prophet/">先知详情</a>
光之守卫	Keeper_Of_The_Light	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_keeper_of_the_light.png"/>	<a href="http://www.dota2.com.cn/hero/keeper_of_the_light/">光之守卫详情</a>
克林克兹	Clinkz	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_clinkz.png"/>	<a href="http://www.dota2.com.cn/hero/clinkz/">克林克兹详情</a>
全能骑士	Omniknight	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_omniknight.png"/>	<a href="http://www.dota2.com.cn/hero/omniknight/">全能骑士详情</a>
兽王	Beastmaster	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_beastmaster.png"/>	<a href="http://www.dota2.com.cn/hero/beastmaster/">兽王详情</a>
军团指挥官	Legion_Commander	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_legion_commander.png"/>	<a href="http://www.dota2.com.cn/hero/legion_commander/">军团指挥官详情</a>
冥界亚龙	Viper	<img src="https://img.dota2.com.cn/dota2static/herostatic/index/npc_dota_hero_viper.png"/>	<a href="http://www.dota2.com.cn/hero/viper/">冥界亚龙详情</a>
